,Unnamed: 0,Name,Location,Locality,City,Cuisine,Rating,Votes,Cost,State
3405,3405,The Dining Room,"Park Hyatt Hotel,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"North Indian,  Continental",4.2,85,3000,Telangana
3406,3406,Rika,"Park Hyatt Hotel,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,Asian,4.6,7,3400,Telangana
3407,3407,United Kitchens of India,"The Purple Leaf Hotel,Karkhana, Secunderabad", Secunderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Andhra,  Chettinad,  Bengali",4.2,213,1000,Telangana
3408,3408,Indian Foodies Hub,"Kimtee Square,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian,  Biryani",3.8,249,1100,Telangana
3409,3409,Tatva,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  European,  Mughlai",4.4,357,1500,Telangana
3410,3410,Almond House,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Mithai,  Desserts",5.0,1,500,Telangana
3411,3411,Ohri's Far East,"Ohri's Banjara,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Chinese,  Seafood",3.8,240,1400,Telangana
3412,3412,Medley,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Lebanese,  North Indian,  Italian,  Chinese,  Continental,  Mexican,  Desserts",4.3,156,1000,Telangana
3413,3413,Southern Spice,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,South Indian,3.9,46,800,Telangana
3414,3414,TiKi Shack - Rooftop Bar,"Jahnavi Trade Center,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Continental,  Asian,  Fast Food",4.0,249,1500,Telangana
3415,3415,Ohri's Eatmor,"Hotel Baseraa,SD Road, Secunderabad", Secunderabad,Hyderabad,"Continental,  Fast Food,  Italian,  Chinese,  Finger Food,  Street Food,  Desserts,  Ice Cream,  Shakes",3.8,189,1000,Telangana
3416,3416,Bench Cafe & Restaurant,"Abids, Central Hyderabad", Central Hyderabad,Hyderabad,"Italian,  Chinese",3.9,39,500,Telangana
3417,3417,Indulge Ice Cream,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Ice Cream,  Desserts,  Shakes",5.0,1,300,Telangana
3418,3418,Stallion,"Royal Reve Hotel,SD Road, Secunderabad", Secunderabad,Hyderabad,"Chinese,  Mughlai",4.2,18,1600,Telangana
3419,3419,Almond House,"SD Road, Secunderabad", Secunderabad,Hyderabad,"Mithai,  Desserts",4.7,6,500,Telangana
3420,3420,Ohri's - Sahib’s Barbeque,"Cyber Grub,Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Barbecue,  Hyderabadi,  Awadhi",4.1,1501,1500,Telangana
3421,3421,Ohri's - Out Swinger,"Hotel Baseraa,SD Road, Secunderabad", Secunderabad,Hyderabad,"Finger Food,  North Indian,  Chinese",3.8,73,1600,Telangana
3422,3422,Petoo,"Ameerpet, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Street Food,  Fast Food,  Chaat,  Biryani",1.0,1,600,Telangana
3423,3423,Cheesiaano Pizza,"Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,"Italian,  Pizza",4.2,38,700,Telangana
3424,3424,Scotchman,"Royalton Hotel,Abids, Central Hyderabad", Central Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian",4.2,34,2500,Telangana
3425,3425,Spice Garden,"Royal Reve Hotel,SD Road, Secunderabad", Secunderabad,Hyderabad,"North Indian,  Chinese,  Continental",4.0,85,700,Telangana
