,Unnamed: 0,Name,Location,Locality,City,Cuisine,Rating,Votes,Cost,State
0,0,Local,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Finger Food,  Continental",4.1,2415,2000,Delhi NCR
1,1,The G.T. ROAD,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.3,2363,1500,Delhi NCR
2,2,Tamasha,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Finger Food,  North Indian,  Italian,  Continental,  Asian",4.2,5016,2000,Delhi NCR
3,3,The Junkyard Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mediterranean,  Asian,  Italian,  Oriental ",4.2,2821,1800,Delhi NCR
4,4,Chili's American Grill and Bar,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"Mexican,  American,  Italian",4.4,1094,2000,Delhi NCR
5,5,Ardor 2.1 Restaurant and Lounge,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Seafood",3.9,1391,2000,Delhi NCR
6,6,The Luggage Room By Sandoz,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.0,1022,1800,Delhi NCR
7,7,QBA,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Oriental ",4.3,963,2100,Delhi NCR
8,8,My Bar Square,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Finger Food,  Italian,  Chinese,  Continental",3.9,506,1500,Delhi NCR
9,9,Ghoomar Traditional Thali Restaurant,"Connaught Place, Central Delhi", Central Delhi,Delhi,Rajasthani,4.2,712,1000,Delhi NCR
10,10,Station Bar,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Mediterranean,  Oriental ",4.1,2428,2000,Delhi NCR
11,11,Warehouse Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Fusion,  Italian,  Chinese",4.1,2335,2500,Delhi NCR
12,12,Padmanabham,"Janpath, Central Delhi", Central Delhi,Delhi,South Indian,4.2,223,700,Delhi NCR
13,13,Unplugged Courtyard,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Continental",4.1,1817,2000,Delhi NCR
14,14,38 Barracks,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Chinese,  Continental",4.3,1301,1700,Delhi NCR
15,15,Ministry Of Beer,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"Finger Food,  North Indian,  Italian,  Continental,  Oriental ,  Fusion",4.0,1501,2100,Delhi NCR
16,16,Sandoz,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.2,134,1500,Delhi NCR
17,17,Farzi Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Modern Indian,  Continental,  Finger Food",4.2,1410,2000,Delhi NCR
18,18,Openhouse Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  American,  Asian,  Modern Indian",4.2,1272,2200,Delhi NCR
19,19,Lord of the Drinks,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Continental,  Japanese,  Oriental ",4.2,2694,2000,Delhi NCR
20,20,Lazeez Affaire,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.2,845,2600,Delhi NCR
21,21,OTB Courtyard,"Connaught Place, Central Delhi", Central Delhi,Delhi,"World Cuisine,  Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  American,  Fast Food",4.1,297,2000,Delhi NCR
22,22,The Darzi Bar & Kitchen,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Mexican,  European,  Oriental ",4.1,1624,2000,Delhi NCR
23,23,Route 04,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Finger Food,  Italian,  Continental,  American,  Tex Mex",4.2,388,2000,Delhi NCR
24,24,Kwality Restaurant,"Regal Cinema Complex,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Continental",4.5,416,2000,Delhi NCR
25,25,Castle Barbeque,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese",3.5,101,2000,Delhi NCR
26,26,Teddy Boy,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Continental,  Italian,  Chinese",4.2,1753,2000,Delhi NCR
27,27,Tamra,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Japanese,  European,  Oriental ",4.4,491,4000,Delhi NCR
28,28,Cafe Delhi Heights,"Janpath, Central Delhi", Central Delhi,Delhi,"Modern Indian,  Italian,  Continental,  American",4.4,776,2000,Delhi NCR
29,29,The Imperial Spice,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  European,  Oriental ",4.4,500,2800,Delhi NCR
30,30,Informal By Imperfecto,"Janpath, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  Italian,  Continental,  Thai,  Oriental ",4.1,1634,2400,Delhi NCR
31,31,Boa Village,"The Exchange Store Building,Civil Lines, North Delhi", North Delhi,Delhi,"Asian,  Chinese,  Japanese,  Korean",4.4,4265,2000,Delhi NCR
32,32,Cafe MRP,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Oriental ",4.2,1534,1400,Delhi NCR
33,33,Caffe Tonino,"PVR Plaza,Connaught Place, Central Delhi", Central Delhi,Delhi,Italian,4.5,826,2000,Delhi NCR
34,34,Desi Vibes,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.2,881,2200,Delhi NCR
35,35,Cafe High5,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Continental,  Oriental ",3.9,310,1800,Delhi NCR
36,36,Master Of Malts,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,"Continental,  Finger Food,  North Indian,  Italian,  Mediterranean,  European,  Asian",4.1,1269,2000,Delhi NCR
37,37,TEO - Lounge & Bar,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Oriental ,  Italian",3.9,1098,1200,Delhi NCR
38,38,Connaught Clubhouse,"Janpath, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  Italian,  Mexican,  Asian",4.2,117,2500,Delhi NCR
39,39,Cafe Hawkers,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Fast Food",4.3,712,1200,Delhi NCR
40,40,Dhaba Estd 1986 Delhi,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.2,50,1200,Delhi NCR
41,41,My Bar Headquarters,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Finger Food,  North Indian,  Italian,  Chinese",4.1,2503,1500,Delhi NCR
42,42,Zaffran,"Hotel Palace Heights,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.5,335,1000,Delhi NCR
43,43,Oh My God,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Chinese,  Continental",4.1,922,2200,Delhi NCR
44,44,Daryaganj,"Regal Cinema Complex,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.1,38,2000,Delhi NCR
45,45,Berco's,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Chinese,  Thai",4.3,1378,1500,Delhi NCR
46,46,Barbeque Nation,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Barbecue,  Mughlai",4.4,610,1700,Delhi NCR
47,47,Bagundi,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"South Indian,  Andhra,  Seafood",4.3,167,1000,Delhi NCR
48,48,Biryani By Kilo,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Mughlai,  Biryani",4.1,181,800,Delhi NCR
49,49,Sincity,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Continental,  Mexican,  Asian,  Mughlai",3.8,110,1800,Delhi NCR
50,50,Naivedyam,"Connaught Place, Central Delhi", Central Delhi,Delhi,South Indian,3.8,54,500,Delhi NCR
51,51,AIR An Ivory Region,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Continental,  Oriental ,  Italian,  Street Food",4.0,3270,1200,Delhi NCR
52,52,Punjab Grill,"Janpath, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.1,147,2200,Delhi NCR
53,53,The Immigrant Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Continental",4.0,65,2100,Delhi NCR
54,54,Pind Balluchi,"Janpath, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.0,180,1800,Delhi NCR
55,55,Bo-Tai Switch,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,"Italian,  Thai",4.1,69,1200,Delhi NCR
56,56,Taste of China,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Chinese,  Thai",4.1,91,2000,Delhi NCR
57,57,Blues,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  Finger Food,  North Indian,  Chinese,  Continental,  American",4.2,92,2000,Delhi NCR
58,58,Taco Bell,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Mexican,  Tex Mex",4.0,37,500,Delhi NCR
59,59,The Host,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Seafood,  Mughlai,  Oriental ",4.2,75,2500,Delhi NCR
60,60,THE ART HOUSE Restaurant,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Continental",3.9,574,2500,Delhi NCR
61,61,DR Zombie,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Italian,  American,  Coffee",4.1,158,1800,Delhi NCR
62,62,Wok in the Clouds,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Chinese,  Thai,  Asian,  North Indian,  Continental",4.4,69,2200,Delhi NCR
63,63,Kinbuck 2,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Continental,  Asian,  Chinese,  South Indian,  Fast Food",3.8,263,1800,Delhi NCR
64,64,Ranisa,"Connaught Place, Central Delhi", Central Delhi,Delhi,Rajasthani,4.4,9,800,Delhi NCR
65,65,The Embassy,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  European",4.2,276,2800,Delhi NCR
66,66,World Of My Bar,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Fast Food",4.1,43,2200,Delhi NCR
67,67,Biryani Blues,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,"Biryani,  Hyderabadi",4.2,187,1200,Delhi NCR
68,68,Chaayos,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Street Food,  Tea,  Fast Food",4.2,68,500,Delhi NCR
69,69,The Great Kabab Factory,"Radisson Blu Marina,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.2,146,3000,Delhi NCR
70,70,Khandani Rajdhani,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,"Gujarati,  Rajasthani",4.0,417,1000,Delhi NCR
71,71,Chaayos,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"Street Food,  Tea,  Fast Food",4.3,66,500,Delhi NCR
72,72,Mughal-E-Hazam,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,5.0,1,1200,Delhi NCR
73,73,Creme Borne,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Desserts,  Ice Cream,  Fast Food",4.8,9,500,Delhi NCR
74,74,The Imperial Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  European",4.4,23,2500,Delhi NCR
75,75,Sorrento,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,Italian,4.5,113,4000,Delhi NCR
76,76,Handi Chhadeyan Di,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.3,46,800,Delhi NCR
77,77,The Chai Story,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Fast Food,  Tea",4.1,169,400,Delhi NCR
78,78,Fifty9,"Radisson Blu Marina,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Continental,  Oriental ",3.7,193,2800,Delhi NCR
79,79,Shang Palace,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,"Chinese,  Asian",4.6,152,4000,Delhi NCR
80,80,Veda,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Seafood,  Mughlai",4.1,318,2700,Delhi NCR
81,81,Baluchi,"The Lalit New Delhi,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.4,310,4000,Delhi NCR
82,82,The Connaught Bar,"Radisson Blu Marina,Connaught Place, Central Delhi", Central Delhi,Delhi,Finger Food,3.7,23,2200,Delhi NCR
83,83,Kapurthala Kitchen,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Continental",2.9,20,1200,Delhi NCR
84,84,Bistro 55,"Paharganj, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",5.0,2,500,Delhi NCR
85,85,Giani,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Desserts,  Ice Cream,  Shakes",3.0,2,400,Delhi NCR
86,86,Mamagoto,"Khan Market, Central Delhi", Central Delhi,Delhi,"Asian,  Chinese,  Thai,  Japanese",4.5,576,1500,Delhi NCR
87,87,Cinnabon,"Shivaji Stadium Metro Station,Connaught Place, Central Delhi", Central Delhi,Delhi,"Desserts,  Bakery and Confectionary,  Coffee",3.8,19,500,Delhi NCR
88,88,Fat Lulu's,"Khan Market, Central Delhi", Central Delhi,Delhi,"Italian,  Pizza,  Fast Food",4.5,25,1500,Delhi NCR
89,89,Pikkle,"Rajinder Nagar, West Delhi", West Delhi,Delhi,"Asian,  North Indian,  Chinese,  Thai,  Japanese,  Sushi",4.2,499,1800,Delhi NCR
90,90,Pindi,"Pandara Road, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.4,415,2500,Delhi NCR
91,91,Cafe Delhi Heights,"Khan Market, Central Delhi", Central Delhi,Delhi,"Modern Indian,  Italian,  Continental,  American",4.4,123,2000,Delhi NCR
92,92,TOS - Take Off Scarlet,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",3.9,3055,1200,Delhi NCR
93,93,Veg Gulati,"Pandara Road, Central Delhi", Central Delhi,Delhi,"North Indian,  Biryani,  Indian Cuisine",4.4,90,1200,Delhi NCR
94,94,Judge & Jury,"Vijay Nagar, North Delhi", North Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  American",4.1,1076,1400,Delhi NCR
95,95,The DineRoom,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Italian,  Chinese",4.2,443,1000,Delhi NCR
96,96,Qbic Cafe,"East Patel Nagar, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Continental,  Italian",4.3,447,1200,Delhi NCR
97,97,1 Oak Cafe & Bar,"Defence Colony, South Delhi", South Delhi,Delhi,"Finger Food,  Italian,  Continental,  Asian",4.2,2118,1600,Delhi NCR
98,98,Zaika Foods,"Daryaganj, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.0,51,500,Delhi NCR
99,99,The Chatter House,"Khan Market, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Continental",4.2,615,2600,Delhi NCR
100,100,Dilli Gate,"Daryaganj, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.5,2,600,Delhi NCR
101,101,Imly,"Apsara Arcade Mall,Karol Bagh, Central Delhi", Central Delhi,Delhi,"Street Food,  North Indian,  Chinese,  South Indian,  Fast Food",3.8,401,800,Delhi NCR
102,102,Ichiban,"Pandara Road, Central Delhi", Central Delhi,Delhi,"Chinese,  Thai,  Japanese",4.5,190,800,Delhi NCR
103,103,Talli Station,"Rajendra Bhawan,Rajendra Place, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Fast Food",4.1,82,1500,Delhi NCR
104,104,Sly Granny,"Khan Market, Central Delhi", Central Delhi,Delhi,"European,  American",4.5,146,2500,Delhi NCR
105,105,Naivedyam,"East Patel Nagar, West Delhi", West Delhi,Delhi,South Indian,4.3,453,500,Delhi NCR
106,106,Lanterns Kitchen & Bar,"Rajendra Bhawan,Rajendra Place, West Delhi", West Delhi,Delhi,"Finger Food,  North Indian,  Italian,  Chinese",4.2,614,1600,Delhi NCR
107,107,Gola Sizzlers,"Khan Market, Central Delhi", Central Delhi,Delhi,"Sizzlers,  North Indian,  Chinese",4.0,37,1200,Delhi NCR
108,108,Out Of The Box,"Khan Market, Central Delhi", Central Delhi,Delhi,"World Cuisine,  Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Oriental ,  Tex Mex",4.1,634,2000,Delhi NCR
109,109,Wok in the Clouds,"Khan Market, Central Delhi", Central Delhi,Delhi,"Chinese,  Thai,  Asian,  North Indian,  Continental",4.3,646,2200,Delhi NCR
110,110,MGM Club,"MGM Residency 19,Daryaganj, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai,  Chinese",4.4,11,1800,Delhi NCR
111,111,Sandoz,"Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,"North Indian,  Chinese",4.3,851,1000,Delhi NCR
112,112,Molecule Air Bar,"Green Park, South Delhi", South Delhi,Delhi,North Indian,4.2,555,1500,Delhi NCR
113,113,Spezia Bistro,"Hudson Lane, North Delhi", North Delhi,Delhi,"Fast Food,  Italian,  Continental,  Oriental ",4.5,1482,1200,Delhi NCR
114,114,Clue,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Italian,  Continental,  Chinese,  Oriental ,  Street Food",3.9,1296,1500,Delhi NCR
115,115,Thalassery Restaurant,"Rajinder Nagar, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Fast Food",5.0,1,800,Delhi NCR
116,116,Anglow,"Khan Market, Central Delhi", Central Delhi,Delhi,"North Indian,  European,  Continental",4.3,85,2200,Delhi NCR
117,117,Yellow Brick Road,"Ambassador,Khan Market, Central Delhi", Central Delhi,Delhi,"Continental,  North Indian,  Italian,  South Indian",4.4,532,3500,Delhi NCR
118,118,Suruchi,"Karol Bagh, Central Delhi", Central Delhi,Delhi,"Rajasthani,  North Indian,  Gujarati",4.2,55,800,Delhi NCR
119,119,Sevilla,"The Claridges,Aurangzeb Road, Central Delhi", Central Delhi,Delhi,"Italian,  Spanish",4.5,306,5000,Delhi NCR
120,120,Sandoz,"Lajpat Nagar - 3, South Delhi", South Delhi,Delhi,"North Indian,  Chinese",4.3,431,1000,Delhi NCR
121,121,Aura,"The Claridges,Aurangzeb Road, Central Delhi", Central Delhi,Delhi,Finger Food,4.7,3,4000,Delhi NCR
122,122,BFF (Beer Food Feast) Restro Bar,"Karol Bagh, Central Delhi", Central Delhi,Delhi,"North Indian,  Continental,  Oriental ,  Finger Food",4.1,25,2000,Delhi NCR
123,123,La Vie Pizzeria,"Khan Market, Central Delhi", Central Delhi,Delhi,"Italian,  Pizza",4.3,120,1500,Delhi NCR
124,124,Punjab Grill,"Khan Market, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.1,156,2200,Delhi NCR
125,125,Castle Barbeque,"Pacific Mall,Tagore Garden, West Delhi", West Delhi,Delhi,"North Indian,  Chinese",4.0,1652,2000,Delhi NCR
126,126,Lazeez Affaire,"Malcha Marg Shopping Complex,Chanakyapuri, South Delhi", South Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.4,1275,2600,Delhi NCR
127,127,Gola Sizzlers,"Preet Vihar, East Delhi", East Delhi,Delhi,"Sizzlers,  North Indian,  Chinese",4.2,83,1200,Delhi NCR
128,128,Socia L Affaire,"Karol Bagh, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  European,  Oriental ",3.6,51,1500,Delhi NCR
129,129,Jade,"The Claridges,Aurangzeb Road, Central Delhi", Central Delhi,Delhi,"Chinese,  Seafood",4.0,40,2500,Delhi NCR
130,130,Lazy Bear,"Hudson Lane, North Delhi", North Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.1,570,1100,Delhi NCR
131,131,Local heights,"Punjabi Bagh, West Delhi", West Delhi,Delhi,North Indian,3.8,426,800,Delhi NCR
132,132,Kaarobaar,"Rajinder Nagar, West Delhi", West Delhi,Delhi,"North Indian,  Fast Food,  Chinese",3.9,12,900,Delhi NCR
133,133,SAZ,"Sundar Nagar, Central Delhi", Central Delhi,Delhi,American,4.2,40,3000,Delhi NCR
134,134,The Waffle Co.,"Rajinder Nagar, West Delhi", West Delhi,Delhi,"Desserts,  Waffle,  Shakes",5.0,1,400,Delhi NCR
135,135,Qubitos - The Terrace Cafe,"Rajouri Garden, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Thai,  Mexican,  European",4.1,2422,1500,Delhi NCR
136,136,Bell Pepperz,"Community Centre,Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,"North Indian,  Oriental ",4.4,643,1200,Delhi NCR
137,137,736 AD Cafe & Bar,"Vijay Nagar, North Delhi", North Delhi,Delhi,"Multi-Cuisine,  Italian,  Chinese,  Continental,  Lebanese",4.2,2062,1500,Delhi NCR
138,138,Jamun,"Lodhi Colony, South Delhi", South Delhi,Delhi,"North Indian,  Seafood,  Andhra,  Kerala",4.4,165,3000,Delhi NCR
139,139,Ping's Cafe Orient,"Lodhi Colony, South Delhi", South Delhi,Delhi,Asian,4.4,306,2100,Delhi NCR
140,140,Maini's Green Leaf,"Unity One Mall,Shahdara, East Delhi", East Delhi,Delhi,"North Indian,  Italian,  Chinese",4.3,340,1000,Delhi NCR
141,141,Elan,"The Lodhi,Lodhi Road, South Delhi", South Delhi,Delhi,"Continental,  North Indian,  Italian",4.3,203,4000,Delhi NCR
142,142,MKT,"The Chanakya,Chanakyapuri, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Mexican,  European,  Seafood,  Asian",4.5,899,1900,Delhi NCR
143,143,Sandoz,"Karol Bagh, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese",3.1,8,1000,Delhi NCR
144,144,Guppy,"Lodhi Colony, South Delhi", South Delhi,Delhi,"Asian,  Japanese,  Oriental ",4.3,291,2500,Delhi NCR
145,145,AlKauser,"Chanakyapuri, South Delhi", South Delhi,Delhi,"Mughlai,  North Indian",4.0,12,800,Delhi NCR
146,146,G2 Cafe,"Anand Vihar, East Delhi", East Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  European,  Asian",4.2,510,1600,Delhi NCR
147,147,Breakin' Brew,"Anand Vihar, East Delhi", East Delhi,Delhi,"Italian,  Continental,  Oriental ",4.6,58,900,Delhi NCR
148,148,Kake Da Hotel,"Rajinder Nagar, West Delhi", West Delhi,Delhi,North Indian,3.6,7,1000,Delhi NCR
149,149,Bake Club,"East Patel Nagar, West Delhi", West Delhi,Delhi,"Bakery and Confectionary,  Desserts,  Fast Food",5.0,1,500,Delhi NCR
150,150,The Sky High,"Ansal Plaza Mall,Khel Gaon, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mughlai",4.2,1629,2000,Delhi NCR
151,151,The Salt Cafe Kitchen & Bar,"Preet Vihar, East Delhi", East Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  American",4.3,1479,2000,Delhi NCR
152,152,Sana-Di-Ge,"Malcha Marg Shopping Complex,Chanakyapuri, South Delhi", South Delhi,Delhi,"Seafood,  North Indian,  Goan,  Kerala",4.4,481,2200,Delhi NCR
153,153,Anardana Modern Kitchen & Bar,"Preet Vihar, East Delhi", East Delhi,Delhi,"North Indian,  Italian,  Chinese,  Continental",4.3,434,1700,Delhi NCR
154,154,Perbacco,"The Lodhi,Lodhi Road, South Delhi", South Delhi,Delhi,Italian,4.0,22,3000,Delhi NCR
155,155,Uncultured Cafe & Bar,"Kailash Colony, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Finger Food",4.3,2548,1500,Delhi NCR
156,156,Elma's Brasserie,"Mehar Chand Market,Lodhi Colony, South Delhi", South Delhi,Delhi,"Continental,  Italian,  European,  Desserts",4.4,108,1200,Delhi NCR
157,157,Verandah Moonshine,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Fast Food",4.2,939,1500,Delhi NCR
158,158,Breath - Fine Lounge and Bar,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Chinese",3.9,622,1200,Delhi NCR
159,159,Pinjore,"East Patel Nagar, West Delhi", West Delhi,Delhi,North Indian,3.6,13,1000,Delhi NCR
160,160,The Barbeque Company,"Jail Road, West Delhi", West Delhi,Delhi,"North Indian,  Barbecue,  Chinese",4.3,2478,2100,Delhi NCR
161,161,Xpose Lounge,"ITL Twin Tower,Netaji Subhash Place, North Delhi", North Delhi,Delhi,"North Indian,  Chinese,  Finger Food",3.9,1294,1700,Delhi NCR
162,162,Berco's,"Kamla Nagar, North Delhi", North Delhi,Delhi,"Chinese,  Thai",4.1,350,1300,Delhi NCR
163,163,Gyan's Restaurant,"East Patel Nagar, West Delhi", West Delhi,Delhi,North Indian,4.1,17,800,Delhi NCR
164,164,Housefull Cafe Lounge,"Hudson Lane, North Delhi", North Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",4.2,283,1800,Delhi NCR
165,165,Taco Bell,"Kamla Nagar, North Delhi", North Delhi,Delhi,"Mexican,  Tex Mex,  Tex Mex",4.5,125,500,Delhi NCR
166,166,Sandoz,"Rajouri Garden, West Delhi", West Delhi,Delhi,"North Indian,  Chinese",4.4,1082,1200,Delhi NCR
167,167,Off Campus,"Satya Niketan, South Delhi", South Delhi,Delhi,"North Indian,  Italian,  Continental,  Fast Food",4.2,1157,1000,Delhi NCR
168,168,The Yellow Chilli,"V3S Mall,Laxmi Nagar, East Delhi", East Delhi,Delhi,"North Indian,  Mughlai",4.2,482,2000,Delhi NCR
169,169,Gram by Taksim,"Ansal Plaza Mall,Khel Gaon, South Delhi", South Delhi,Delhi,"North Indian,  Asian,  Italian,  European",4.1,844,2200,Delhi NCR
170,170,Xero Degrees,"Satya Niketan, South Delhi", South Delhi,Delhi,"Italian,  Fast Food,  Shakes",4.4,58,900,Delhi NCR
171,171,The Barbeque Company,"Karkardooma, East Delhi", East Delhi,Delhi,"North Indian,  Barbecue,  Chinese",4.3,1372,2100,Delhi NCR
172,172,By The Bay,"Hudson Lane, North Delhi", North Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  American,  Seafood",4.1,622,1800,Delhi NCR
173,173,Cafe Delhi Heights,"Unity One Mall,Janakpuri, West Delhi", West Delhi,Delhi,"Modern Indian,  Italian,  Continental,  American",4.4,451,2000,Delhi NCR
174,174,Cafe Delhi Heights,"Sangam Courtyard,RK Puram, South Delhi", South Delhi,Delhi,"Modern Indian,  Italian,  Continental,  American",4.5,1046,2000,Delhi NCR
