,Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
3589,Stikstof Ice-cream Cafe,"Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"Desserts,  Ice Cream,  Tea",3.9,71,500
3590,Dhaba–Estd 1986 Delhi,"Western Pearl Building,Kondapur, West Hyderabad", West Hyderabad,Hyderabad,North Indian,4.2,421,1200
3591,Up Cup Cafe,"Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"Continental,  Fast Food",5.0,1,600
3592,Ohri's - Rubaiyat,"Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Mughlai",4.1,545,1200
3593,Bake Bar,"Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"Desserts,  Bakery and Confectionary",5.0,3,400
3594,Ulavacharu,"Fantasy Square Building,Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"Seafood,  Andhra,  North Indian,  Chinese",3.9,333,1000
3595,Eagles Pizza,"Habsiguda, East Hyderabad", East Hyderabad,Hyderabad,"Pizza,  Italian,  Ice Cream,  Fast Food",4.0,70,600
3596,Kazuza,"Habsiguda, East Hyderabad", East Hyderabad,Hyderabad,"Fast Food,  Coffee,  Shakes",3.4,71,1000
3597,Good Vibes Only Cafe,"Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"Italian,  Continental",4.0,7,1100
3598,Maryada Ramanna,"Kondapur, West Hyderabad", West Hyderabad,Hyderabad,"South Indian,  Biryani",4.3,87,800
3599,DOF Cafe,"Prithvi Complex,Habsiguda, East Hyderabad", East Hyderabad,Hyderabad,"Continental,  Oriental ",4.0,14,500
3600,TMH-Flavours Of Taj Mahal Hotel,"L & T Metro Mall,Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  South Indian,  Chinese",4.3,102,1000
3601,Barbeque Nation,"A S Rao Nagar, Secunderabad", Secunderabad,Hyderabad,"Barbecue,  North Indian",4.4,338,1400
3602,NorFest - The Dhaba,"Apnaa Nukkad Drive In,Dilsukh Nagar, East Hyderabad", East Hyderabad,Hyderabad,North Indian,3.7,76,1000
3603,Kinara Grand,"Malkajgiri, Secunderabad", Secunderabad,Hyderabad,"North Indian,  Chinese",3.0,2,800
3604,Onesta,"Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"Italian,  Pizza",4.5,146,900
3605,W Cafe By Wich Way,"Sainikpuri, Secunderabad", Secunderabad,Hyderabad,"Continental,  American,  Fast Food",4.2,127,800
3606,Taco Bell,"L & T Metro Mall,Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"Mexican,  Tex Mex",4.3,86,500
3607,La La Land,"Cyber Edifice,Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese",4.1,367,1400
3608,Brundavan Bar & Restaurant,"Dilsukh Nagar, East Hyderabad", East Hyderabad,Hyderabad,"North Indian,  Chinese",3.9,59,1200
3609,Heart Cup Coffee,"Kondapur, West Hyderabad", West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.4,460,1400
3610,Blue Fox,"Huda Techno Enclave,Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese,  Continental",3.9,435,1000
3611,Sandwich Eatery,"Kompally, Secunderabad", Secunderabad,Hyderabad,"Fast Food,  Shakes",4.2,26,500
3612,Minerva Coffee Shop,"Huda Techno Enclave,Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  South Indian,  Chinese",3.9,196,600
3613,Wings N Pizza,"Suraram, Secunderabad", Secunderabad,Hyderabad,"Pizza,  Fast Food",3.5,7,300
3614,Palamuru Grill,"Kothapet, East Hyderabad", East Hyderabad,Hyderabad,"Barbecue,  Andhra,  North Indian",4.0,143,900
3615,Cloud dining,"Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese,  Continental",3.6,60,5000
3616,Casbah,"The Westin Hyderabad Mindspace,Hitech City, West Hyderabad", West Hyderabad,Hyderabad,Mediterranean,4.0,75,3000
3617,The Chocolate Room Co-working Cafe & Lounge,"Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"Desserts,  Fast Food",4.2,62,1000
3618,Punjabi Affair,"Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese",4.4,7,800
3619,The Lal Street - Bar Stock Exchange,"SLN Terminus,Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Finger Food,  Pizza",4.1,767,1600
3620,Mamagoto,"Western Pearl Building,Kondapur, West Hyderabad", West Hyderabad,Hyderabad,"Asian,  Chinese,  Thai,  Japanese,  Oriental ",4.4,397,1500
3621,Mid Land Bakers & Confectioners,"Manikonda, West Hyderabad", West Hyderabad,Hyderabad,"Bakery and Confectionary,  Chinese,  Desserts,  Fast Food",4.0,2,400
3622,Kangan,"The Westin Hyderabad Mindspace,Hitech City, West Hyderabad", West Hyderabad,Hyderabad,North Indian,4.3,42,2500
3623,Taste of Rajasthan,"Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"Rajasthani,  North Indian",2.1,3,400
3624,Teluguness,"Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Andhra,  Chinese",4.1,246,1000
3625,Mainland China,"Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"Chinese,  Seafood",4.2,296,1700
3626,Southern Spice,"Retro Drive In,Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"South Indian,  Chinese",3.6,7,800
3627,A'La Liberty,"Cyber Grub,Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",4.2,957,1300
3628,Spudato,"Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese,  Continental",3.9,72,1200
3629,The Tilt Republic Bar,"Fantasy Square Building,Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Continental,  European",4.2,246,2000
3630,Ala - The Rooftop,"Kompally, Secunderabad", Secunderabad,Hyderabad,North Indian,3.9,87,1600
3631,Full Moon Multicuisine Restaurant,"Alwal, Secunderabad", Secunderabad,Hyderabad,"North Indian,  Chinese",4.0,44,700
3632,Chaitanya Food Court,"Kukatpally, West Hyderabad", West Hyderabad,Hyderabad,"Andhra,  Biryani,  Chinese,  Seafood",4.3,185,1100
3633,Apsara Ice Creams,"Kukatpally, West Hyderabad", West Hyderabad,Hyderabad,"Ice Cream,  Desserts",4.4,30,300
3634,Barbeque Nation,"Kothaguda, West Hyderabad", West Hyderabad,Hyderabad,"Barbecue,  North Indian,  Mediterranean",4.4,171,1400
3635,10 Downing Street,"SLN Terminus,Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental",4.4,353,2000
3636,Tiki Shack,"Times Square,Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"Continental,  Finger Food",4.2,284,1300
3637,Coco Fit,"Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"Juice,  Shakes,  Ice Cream",2.7,3,300
3638,Little Italy,"BK Towers,Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"Italian,  Mexican",4.2,444,1800
3639,Aromas@11SIX,"Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese,  Seafood,  Mughlai",3.8,104,1200
3640,SKYHY,"Sri Tirumala Towers,Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese,  Continental",3.8,552,1700
3641,Ninety Six,"Trident Hotel,Hitech City, West Hyderabad", West Hyderabad,Hyderabad,Finger Food,4.4,11,2500
3642,Nakshatra MutiCuisine Restaurant,"Dilsukh Nagar, East Hyderabad", East Hyderabad,Hyderabad,"North Indian,  Chinese,  South Indian,  Biryani",3.7,136,700
3643,Akshara Grand,"Vinayaka Plaza,Kothapet, East Hyderabad", East Hyderabad,Hyderabad,"North Indian,  Chinese,  Mughlai",4.3,505,1000
3644,7 sisters Hitex,"Kondapur, West Hyderabad", West Hyderabad,Hyderabad,"Japanese,  Asian",4.2,50,500
3645,Chinese Bells,"MNR Complex,Nacharam, East Hyderabad", East Hyderabad,Hyderabad,"Chinese,  Seafood",2.6,8,700
3646,Drunkyard,"Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese,  Italian,  Continental",4.0,85,1500
3647,London Bubble Co.,"Dilsukh Nagar, East Hyderabad", East Hyderabad,Hyderabad,"Desserts,  Waffle",3.5,28,500
3648,Karachi Cafe,"SBR Pearl,Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"Italian,  Continental,  North Indian,  Chinese",4.1,8,600
3649,Biryanis And More,"Fantasy Square Building,Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese,  Biryani",4.1,126,600
3650,Mexico's Chicken Poppers,"Manikonda, West Hyderabad", West Hyderabad,Hyderabad,Fast Food,4.3,6,500
3651,Biryanis And More,"BK Towers,Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese,  Biryani",3.8,69,600
3652,Almond House,"Kukatpally, West Hyderabad", West Hyderabad,Hyderabad,"Mithai,  Desserts",4.7,8,500
3653,Buffalo Wild Wings,"Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,American,4.1,201,1800
3654,Bikanervala,"Western Pearl Building,Kondapur, West Hyderabad", West Hyderabad,Hyderabad,"Street Food,  Desserts,  Mithai,  North Indian,  Chinese",4.2,398,1000
3655,Tabla,"Hardhick Crown,Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese,  Continental,  Andhra",4.1,211,1100
3656,Cream Chemistry,"Manikonda, West Hyderabad", West Hyderabad,Hyderabad,"Desserts,  Ice Cream,  Shakes",4.3,7,400
3657,Milkshake House,"Kukatpally, West Hyderabad", West Hyderabad,Hyderabad,Shakes,5.0,1,400
3658,Spice It,"Ibis Hotel,Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Italian,  Hyderabadi",3.4,25,1400
3659,Haiku,"Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"Asian,  Sushi",4.3,49,1500
