,Name,Rating,Location,Cuisine,Votes,Cost
0,Local,4.1/52415 votes,"Scindia House,Connaught Place, Central Delhi","North Indian,  Finger Food,  Continental",2415 votes,₹ 2000 for two (approx.)
1,The G.T. ROAD,4.3/52363 votes,"M-Block,Connaught Place, Central Delhi",North Indian,2363 votes,₹ 1500 for two (approx.)
2,Tamasha,4.2/55016 votes,"Connaught Place, Central Delhi","Finger Food,  North Indian,  Italian,  Continental,  Asian",5016 votes,₹ 2000 for two (approx.)
3,The Junkyard Cafe,4.2/52821 votes,"Connaught Place, Central Delhi","North Indian,  Mediterranean,  Asian,  Italian,  Oriental ",2821 votes,₹ 1800 for two (approx.)
4,Chili's American Grill and Bar,4.4/51094 votes,"M-Block,Connaught Place, Central Delhi","Mexican,  American,  Italian",1094 votes,₹ 2000 for two (approx.)
5,Ardor 2.1 Restaurant and Lounge,3.9/51391 votes,"Connaught Place, Central Delhi","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Seafood",1391 votes,₹ 2000 for two (approx.)
6,The Luggage Room By Sandoz,4.0/51022 votes,"M-Block,Connaught Place, Central Delhi","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",1022 votes,₹ 1800 for two (approx.)
7,QBA,4.3/5963 votes,"Connaught Place, Central Delhi","Multi-Cuisine,  North Indian,  Italian,  Continental,  Oriental ",963 votes,₹ 2100 for two (approx.)
8,My Bar Square,3.9/5506 votes,"Connaught Place, Central Delhi","Finger Food,  Italian,  Chinese,  Continental",506 votes,₹ 1500 for two (approx.)
9,Ghoomar Traditional Thali Restaurant,4.2/5712 votes,"Connaught Place, Central Delhi",Rajasthani,712 votes,₹ 1000 for two (approx.)
10,Station Bar,4.1/52428 votes,"F-Block,Connaught Place, Central Delhi","Multi-Cuisine,  North Indian,  Italian,  Continental,  Mediterranean,  Oriental ",2428 votes,₹ 2000 for two (approx.)
11,Warehouse Cafe,4.1/52335 votes,"Connaught Place, Central Delhi","North Indian,  Fusion,  Italian,  Chinese",2335 votes,₹ 2500 for two (approx.)
12,Padmanabham,4.2/5223 votes,"Janpath, Central Delhi",South Indian,223 votes,₹ 700 for two (approx.)
13,Unplugged Courtyard,4.1/51817 votes,"Connaught Place, Central Delhi","North Indian,  Continental",1817 votes,₹ 2000 for two (approx.)
14,38 Barracks,4.3/51301 votes,"M-Block,Connaught Place, Central Delhi","North Indian,  Italian,  Chinese,  Continental",1301 votes,₹ 1700 for two (approx.)
15,Ministry Of Beer,4.0/51501 votes,"M-Block,Connaught Place, Central Delhi","Finger Food,  North Indian,  Italian,  Continental,  Oriental ,  Fusion",1501 votes,₹ 2100 for two (approx.)
16,Sandoz,4.2/5134 votes,"Connaught Place, Central Delhi","North Indian,  Chinese,  Mughlai",134 votes,₹ 1500 for two (approx.)
17,Farzi Cafe,4.2/51410 votes,"Connaught Place, Central Delhi","Modern Indian,  Continental,  Finger Food",1410 votes,₹ 2000 for two (approx.)
18,Openhouse Cafe,4.2/51272 votes,"Connaught Place, Central Delhi","Multi-Cuisine,  North Indian,  Italian,  Continental,  American,  Asian,  Modern Indian",1272 votes,₹ 2200 for two (approx.)
19,Lord of the Drinks,4.2/52694 votes,"Connaught Place, Central Delhi","Multi-Cuisine,  North Indian,  Continental,  Japanese,  Oriental ",2694 votes,₹ 2000 for two (approx.)
20,Lazeez Affaire,4.2/5845 votes,"Connaught Place, Central Delhi","North Indian,  Mughlai",845 votes,₹ 2600 for two (approx.)
21,OTB Courtyard,4.1/5297 votes,"Connaught Place, Central Delhi","World Cuisine,  Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  American,  Fast Food",297 votes,₹ 2000 for two (approx.)
22,The Darzi Bar & Kitchen,4.1/51624 votes,"Connaught Place, Central Delhi","Multi-Cuisine,  North Indian,  Italian,  Continental,  Mexican,  European,  Oriental ",1624 votes,₹ 2000 for two (approx.)
23,Route 04,4.2/5388 votes,"Connaught Place, Central Delhi","Finger Food,  Italian,  Continental,  American,  Tex Mex",388 votes,₹ 2000 for two (approx.)
24,Kwality Restaurant,4.5/5416 votes,"Regal Cinema Complex,Connaught Place, Central Delhi","North Indian,  Continental",416 votes,₹ 2000 for two (approx.)
25,Castle Barbeque,3.5/5101 votes,"Connaught Place, Central Delhi","North Indian,  Chinese",101 votes,₹ 2000 for two (approx.)
26,Teddy Boy,4.2/51753 votes,"Connaught Place, Central Delhi","North Indian,  Continental,  Italian,  Chinese",1753 votes,₹ 2000 for two (approx.)
27,Tamra,4.4/5491 votes,"Shangri La's Eros Hotel,Janpath, Central Delhi","Multi-Cuisine,  North Indian,  Japanese,  European,  Oriental ",491 votes,₹ 4000 for two (approx.)
28,Cafe Delhi Heights,4.4/5776 votes,"Janpath, Central Delhi","Modern Indian,  Italian,  Continental,  American",776 votes,₹ 2000 for two (approx.)
29,The Imperial Spice,4.4/5500 votes,"M-Block,Connaught Place, Central Delhi","Multi-Cuisine,  North Indian,  Italian,  Continental,  European,  Oriental ",500 votes,₹ 2800 for two (approx.)
30,Informal By Imperfecto,4.1/51634 votes,"Janpath, Central Delhi","Multi-Cuisine,  Italian,  Continental,  Thai,  Oriental ",1634 votes,₹ 2400 for two (approx.)
31,Boa Village,4.4/54265 votes,"The Exchange Store Building,Civil Lines, North Delhi","Asian,  Chinese,  Japanese,  Korean",4265 votes,₹ 2000 for two (approx.)
32,Cafe MRP,4.2/51534 votes,"Connaught Place, Central Delhi","North Indian,  Italian,  Oriental ",1534 votes,₹ 1400 for two (approx.)
33,Caffe Tonino,4.5/5826 votes,"PVR Plaza,Connaught Place, Central Delhi",Italian,826 votes,₹ 2000 for two (approx.)
34,Desi Vibes,4.2/5881 votes,"Connaught Place, Central Delhi","North Indian,  Mughlai",881 votes,₹ 2200 for two (approx.)
35,Cafe High5,3.9/5310 votes,"Connaught Place, Central Delhi","North Indian,  Chinese,  Continental,  Oriental ",310 votes,₹ 1800 for two (approx.)
36,Master Of Malts,4.1/51269 votes,"Scindia House,Connaught Place, Central Delhi","Continental,  Finger Food,  North Indian,  Italian,  Mediterranean,  European,  Asian",1269 votes,₹ 2000 for two (approx.)
37,TEO - Lounge & Bar,3.9/51098 votes,"Punjabi Bagh, West Delhi","North Indian,  Oriental ,  Italian",1098 votes,₹ 1200 for two (approx.)
38,Connaught Clubhouse,4.2/5117 votes,"Janpath, Central Delhi","Multi-Cuisine,  Italian,  Mexican,  Asian",117 votes,₹ 2500 for two (approx.)
39,Cafe Hawkers,4.3/5712 votes,"Connaught Place, Central Delhi","North Indian,  Italian,  Fast Food",712 votes,₹ 1200 for two (approx.)
40,Dhaba Estd 1986 Delhi,4.2/550 votes,"Connaught Place, Central Delhi",North Indian,50 votes,₹ 1200 for two (approx.)
41,My Bar Headquarters,4.1/52503 votes,"Connaught Place, Central Delhi","Finger Food,  North Indian,  Italian,  Chinese",2503 votes,₹ 1500 for two (approx.)
42,Zaffran,4.5/5335 votes,"Hotel Palace Heights,Connaught Place, Central Delhi","North Indian,  Mughlai",335 votes,₹ 1000 for two (approx.)
43,Oh My God,4.1/5922 votes,"F-Block,Connaught Place, Central Delhi","North Indian,  Italian,  Chinese,  Continental",922 votes,₹ 2200 for two (approx.)
44,Daryaganj,4.1/538 votes,"Regal Cinema Complex,Connaught Place, Central Delhi","North Indian,  Mughlai",38 votes,₹ 2000 for two (approx.)
45,Berco's,4.3/51378 votes,"Connaught Place, Central Delhi","Chinese,  Thai",1378 votes,₹ 1500 for two (approx.)
46,Barbeque Nation,4.4/5610 votes,"Connaught Place, Central Delhi","North Indian,  Barbecue,  Mughlai",610 votes,₹ 1700 for two (approx.)
47,Bagundi,4.3/5167 votes,"M-Block,Connaught Place, Central Delhi","South Indian,  Andhra,  Seafood",167 votes,₹ 1000 for two (approx.)
48,Biryani By Kilo,4.1/5181 votes,"Connaught Place, Central Delhi","Mughlai,  Biryani",181 votes,₹ 800 for two (approx.)
49,Sincity,3.8/5110 votes,"Connaught Place, Central Delhi","North Indian,  Italian,  Continental,  Mexican,  Asian,  Mughlai",110 votes,₹ 1800 for two (approx.)
50,Naivedyam,3.8/554 votes,"Connaught Place, Central Delhi",South Indian,54 votes,₹ 500 for two (approx.)
51,AIR An Ivory Region,4.0/53270 votes,"Punjabi Bagh, West Delhi","North Indian,  Continental,  Oriental ,  Italian,  Street Food",3270 votes,₹ 1200 for two (approx.)
52,Punjab Grill,4.1/5147 votes,"Janpath, Central Delhi","North Indian,  Mughlai",147 votes,₹ 2200 for two (approx.)
53,The Immigrant Cafe,4.0/565 votes,"Connaught Place, Central Delhi","North Indian,  Italian,  Continental",65 votes,₹ 2100 for two (approx.)
54,Pind Balluchi,4.0/5180 votes,"Janpath, Central Delhi","North Indian,  Mughlai",180 votes,₹ 1800 for two (approx.)
55,Bo-Tai Switch,4.1/569 votes,"Shangri La's Eros Hotel,Janpath, Central Delhi","Italian,  Thai",69 votes,₹ 1200 for two (approx.)
56,Taste of China,4.1/591 votes,"Connaught Place, Central Delhi","Chinese,  Thai",91 votes,₹ 2000 for two (approx.)
57,Blues,4.2/592 votes,"Connaught Place, Central Delhi","Multi-Cuisine,  Finger Food,  North Indian,  Chinese,  Continental,  American",92 votes,₹ 2000 for two (approx.)
58,Taco Bell,4.0/537 votes,"Connaught Place, Central Delhi","Mexican,  Tex Mex",37 votes,₹ 500 for two (approx.)
59,The Host,4.2/575 votes,"F-Block,Connaught Place, Central Delhi","North Indian,  Chinese,  Seafood,  Mughlai,  Oriental ",75 votes,₹ 2500 for two (approx.)
60,THE ART HOUSE Restaurant,3.9/5574 votes,"Connaught Place, Central Delhi","North Indian,  Italian,  Continental",574 votes,₹ 2500 for two (approx.)
61,DR Zombie,4.1/5158 votes,"Connaught Place, Central Delhi","Italian,  American,  Coffee",158 votes,₹ 1800 for two (approx.)
62,Wok in the Clouds,4.4/569 votes,"Connaught Place, Central Delhi","Chinese,  Thai,  Asian,  North Indian,  Continental",69 votes,₹ 2200 for two (approx.)
63,Kinbuck 2,3.8/5263 votes,"Connaught Place, Central Delhi","North Indian,  Italian,  Continental,  Asian,  Chinese,  South Indian,  Fast Food",263 votes,₹ 1800 for two (approx.)
64,Ranisa,4.4/59 votes,"Connaught Place, Central Delhi",Rajasthani,9 votes,₹ 800 for two (approx.)
65,The Embassy,4.2/5276 votes,"Connaught Place, Central Delhi","Multi-Cuisine,  North Indian,  Italian,  Continental,  European",276 votes,₹ 2800 for two (approx.)
66,World Of My Bar,4.1/543 votes,"Connaught Place, Central Delhi","North Indian,  Italian,  Fast Food",43 votes,₹ 2200 for two (approx.)
67,Biryani Blues,4.2/5187 votes,"Scindia House,Connaught Place, Central Delhi","Biryani,  Hyderabadi",187 votes,₹ 1200 for two (approx.)
68,Chaayos,4.2/568 votes,"Connaught Place, Central Delhi","Street Food,  Tea,  Fast Food",68 votes,₹ 500 for two (approx.)
69,The Great Kabab Factory,4.2/5146 votes,"Radisson Blu Marina,Connaught Place, Central Delhi","North Indian,  Mughlai",146 votes,₹ 3000 for two (approx.)
70,Khandani Rajdhani,4.0/5417 votes,"Scindia House,Connaught Place, Central Delhi","Gujarati,  Rajasthani",417 votes,₹ 1000 for two (approx.)
71,Chaayos,4.3/566 votes,"M-Block,Connaught Place, Central Delhi","Street Food,  Tea,  Fast Food",66 votes,₹ 500 for two (approx.)
72,Mughal-E-Hazam,5.0/51 votes,"Connaught Place, Central Delhi",North Indian,1 votes,₹ 1200 for two (approx.)
73,Creme Borne,4.8/59 votes,"Connaught Place, Central Delhi","Desserts,  Ice Cream,  Fast Food",9 votes,₹ 500 for two (approx.)
74,The Imperial Cafe,4.4/523 votes,"Connaught Place, Central Delhi","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  European",23 votes,₹ 2500 for two (approx.)
75,Sorrento,4.5/5113 votes,"Shangri La's Eros Hotel,Janpath, Central Delhi",Italian,113 votes,₹ 4000 for two (approx.)
76,Handi Chhadeyan Di,4.3/546 votes,"Connaught Place, Central Delhi",North Indian,46 votes,₹ 800 for two (approx.)
77,The Chai Story,4.1/5169 votes,"Connaught Place, Central Delhi","Fast Food,  Tea",169 votes,₹ 400 for two (approx.)
78,Fifty9,3.7/5193 votes,"Radisson Blu Marina,Connaught Place, Central Delhi","North Indian,  Continental,  Oriental ",193 votes,₹ 2800 for two (approx.)
79,Shang Palace,4.6/5152 votes,"Shangri La's Eros Hotel,Janpath, Central Delhi","Chinese,  Asian",152 votes,₹ 4000 for two (approx.)
80,Veda,4.1/5318 votes,"Connaught Place, Central Delhi","North Indian,  Seafood,  Mughlai",318 votes,₹ 2700 for two (approx.)
81,Baluchi,4.4/5310 votes,"The Lalit New Delhi,Connaught Place, Central Delhi","North Indian,  Mughlai",310 votes,₹ 4000 for two (approx.)
82,The Connaught Bar,3.7/523 votes,"Radisson Blu Marina,Connaught Place, Central Delhi",Finger Food,23 votes,₹ 2200 for two (approx.)
83,Kapurthala Kitchen,2.9/520 votes,"Connaught Place, Central Delhi","North Indian,  Chinese,  Continental",20 votes,₹ 1200 for two (approx.)
84,Bistro 55,5.0/52 votes,"Paharganj, Central Delhi","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",2 votes,₹ 500 for two (approx.)
85,Giani,3.0/52 votes,"Connaught Place, Central Delhi","Desserts,  Ice Cream,  Shakes",2 votes,₹ 400 for two (approx.)
86,Mamagoto,4.5/5576 votes,"Khan Market, Central Delhi","Asian,  Chinese,  Thai,  Japanese",576 votes,₹ 1500 for two (approx.)
87,Cinnabon,3.8/519 votes,"Shivaji Stadium Metro Station,Connaught Place, Central Delhi","Desserts,  Bakery and Confectionary,  Coffee",19 votes,₹ 500 for two (approx.)
88,Fat Lulu's,4.5/525 votes,"Khan Market, Central Delhi","Italian,  Pizza,  Fast Food",25 votes,₹ 1500 for two (approx.)
89,Pikkle,4.2/5499 votes,"Rajinder Nagar, West Delhi","Asian,  North Indian,  Chinese,  Thai,  Japanese,  Sushi",499 votes,₹ 1800 for two (approx.)
90,Pindi,4.4/5415 votes,"Pandara Road, Central Delhi","North Indian,  Chinese,  Mughlai",415 votes,₹ 2500 for two (approx.)
91,Cafe Delhi Heights,4.4/5123 votes,"Khan Market, Central Delhi","Modern Indian,  Italian,  Continental,  American",123 votes,₹ 2000 for two (approx.)
92,TOS - Take Off Scarlet,3.9/53055 votes,"Punjabi Bagh, West Delhi","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",3055 votes,₹ 1200 for two (approx.)
93,Veg Gulati,4.4/590 votes,"Pandara Road, Central Delhi","North Indian,  Biryani,  Indian Cuisine",90 votes,₹ 1200 for two (approx.)
94,Judge & Jury,4.1/51076 votes,"Vijay Nagar, North Delhi","Multi-Cuisine,  North Indian,  Italian,  Chinese,  American",1076 votes,₹ 1400 for two (approx.)
95,The DineRoom,4.2/5443 votes,"Punjabi Bagh, West Delhi","North Indian,  Italian,  Chinese",443 votes,₹ 1000 for two (approx.)
96,Qbic Cafe,4.3/5447 votes,"East Patel Nagar, West Delhi","North Indian,  Chinese,  Continental,  Italian",447 votes,₹ 1200 for two (approx.)
97,1 Oak Cafe & Bar,4.2/52118 votes,"Defence Colony, South Delhi","Finger Food,  Italian,  Continental,  Asian",2118 votes,₹ 1600 for two (approx.)
98,Zaika Foods,4.0/551 votes,"Daryaganj, Central Delhi","North Indian,  Chinese,  Mughlai",51 votes,₹ 500 for two (approx.)
99,The Chatter House,4.2/5615 votes,"Khan Market, Central Delhi","North Indian,  Italian,  Continental",615 votes,₹ 2600 for two (approx.)
100,Dilli Gate,4.5/52 votes,"Daryaganj, Central Delhi","North Indian,  Chinese,  Mughlai",2 votes,₹ 600 for two (approx.)
101,Imly,3.8/5401 votes,"Apsara Arcade Mall,Karol Bagh, Central Delhi","Street Food,  North Indian,  Chinese,  South Indian,  Fast Food",401 votes,₹ 800 for two (approx.)
102,Ichiban,4.5/5190 votes,"Pandara Road, Central Delhi","Chinese,  Thai,  Japanese",190 votes,₹ 800 for two (approx.)
103,Talli Station,4.1/582 votes,"Rajendra Bhawan,Rajendra Place, West Delhi","North Indian,  Chinese,  Fast Food",82 votes,₹ 1500 for two (approx.)
104,Sly Granny,4.5/5146 votes,"Khan Market, Central Delhi","European,  American",146 votes,₹ 2500 for two (approx.)
105,Naivedyam,4.3/5453 votes,"East Patel Nagar, West Delhi",South Indian,453 votes,₹ 500 for two (approx.)
106,Lanterns Kitchen & Bar,4.2/5614 votes,"Rajendra Bhawan,Rajendra Place, West Delhi","Finger Food,  North Indian,  Italian,  Chinese",614 votes,₹ 1600 for two (approx.)
107,Gola Sizzlers,4.0/537 votes,"Khan Market, Central Delhi","Sizzlers,  North Indian,  Chinese",37 votes,₹ 1200 for two (approx.)
108,Out Of The Box,4.1/5634 votes,"Khan Market, Central Delhi","World Cuisine,  Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Oriental ,  Tex Mex",634 votes,₹ 2000 for two (approx.)
109,Wok in the Clouds,4.3/5646 votes,"Khan Market, Central Delhi","Chinese,  Thai,  Asian,  North Indian,  Continental",646 votes,₹ 2200 for two (approx.)
110,MGM Club,4.4/511 votes,"MGM Residency 19,Daryaganj, Central Delhi","North Indian,  Mughlai,  Chinese",11 votes,₹ 1800 for two (approx.)
111,Sandoz,4.3/5851 votes,"Ashok Vihar Phase - 2, North Delhi","North Indian,  Chinese",851 votes,₹ 1000 for two (approx.)
112,Molecule Air Bar,4.2/5555 votes,"Green Park, South Delhi",North Indian,555 votes,₹ 1500 for two (approx.)
113,Spezia Bistro,4.5/51482 votes,"Hudson Lane, North Delhi","Fast Food,  Italian,  Continental,  Oriental ",1482 votes,₹ 1200 for two (approx.)
114,Clue,3.9/51296 votes,"Punjabi Bagh, West Delhi","North Indian,  Italian,  Continental,  Chinese,  Oriental ,  Street Food",1296 votes,₹ 1500 for two (approx.)
115,Thalassery Restaurant,5.0/51 votes,"Rajinder Nagar, West Delhi","North Indian,  Chinese,  Fast Food",1 votes,₹ 800 for two (approx.)
116,Anglow,4.3/585 votes,"Khan Market, Central Delhi","North Indian,  European,  Continental",85 votes,₹ 2200 for two (approx.)
117,Yellow Brick Road,4.4/5532 votes,"Ambassador,Khan Market, Central Delhi","Continental,  North Indian,  Italian,  South Indian",532 votes,₹ 3500 for two (approx.)
118,Suruchi,4.2/555 votes,"Karol Bagh, Central Delhi","Rajasthani,  North Indian,  Gujarati",55 votes,₹ 800 for two (approx.)
119,Sevilla,4.5/5306 votes,"The Claridges,Aurangzeb Road, Central Delhi","Italian,  Spanish",306 votes,₹ 5000 for two (approx.)
120,Sandoz,4.3/5431 votes,"Lajpat Nagar - 3, South Delhi","North Indian,  Chinese",431 votes,₹ 1000 for two (approx.)
121,Aura,4.7/53 votes,"The Claridges,Aurangzeb Road, Central Delhi",Finger Food,3 votes,₹ 4000 for two (approx.)
122,BFF (Beer Food Feast) Restro Bar,4.1/525 votes,"Karol Bagh, Central Delhi","North Indian,  Continental,  Oriental ,  Finger Food",25 votes,₹ 2000 for two (approx.)
123,La Vie Pizzeria,4.3/5120 votes,"Khan Market, Central Delhi","Italian,  Pizza",120 votes,₹ 1500 for two (approx.)
124,Punjab Grill,4.1/5156 votes,"Khan Market, Central Delhi","North Indian,  Mughlai",156 votes,₹ 2200 for two (approx.)
125,Castle Barbeque,4.0/51652 votes,"Pacific Mall,Tagore Garden, West Delhi","North Indian,  Chinese",1652 votes,₹ 2000 for two (approx.)
126,Lazeez Affaire,4.4/51275 votes,"Malcha Marg Shopping Complex,Chanakyapuri, South Delhi","North Indian,  Chinese,  Mughlai",1275 votes,₹ 2600 for two (approx.)
127,Gola Sizzlers,4.2/583 votes,"Preet Vihar, East Delhi","Sizzlers,  North Indian,  Chinese",83 votes,₹ 1200 for two (approx.)
128,Socia L Affaire,3.6/551 votes,"Karol Bagh, Central Delhi","Multi-Cuisine,  North Indian,  Italian,  European,  Oriental ",51 votes,₹ 1500 for two (approx.)
129,Jade,4.0/540 votes,"The Claridges,Aurangzeb Road, Central Delhi","Chinese,  Seafood",40 votes,₹ 2500 for two (approx.)
130,Lazy Bear,4.1/5570 votes,"Hudson Lane, North Delhi","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",570 votes,₹ 1100 for two (approx.)
131,Local heights,3.8/5426 votes,"Punjabi Bagh, West Delhi",North Indian,426 votes,₹ 800 for two (approx.)
132,Kaarobaar,3.9/512 votes,"Rajinder Nagar, West Delhi","North Indian,  Fast Food,  Chinese",12 votes,₹ 900 for two (approx.)
133,SAZ,4.2/540 votes,"Sundar Nagar, Central Delhi",American,40 votes,₹ 3000 for two (approx.)
134,The Waffle Co.,5.0/51 votes,"Rajinder Nagar, West Delhi","Desserts,  Waffle,  Shakes",1 votes,₹ 400 for two (approx.)
135,Qubitos - The Terrace Cafe,4.1/52422 votes,"Rajouri Garden, West Delhi","Multi-Cuisine,  North Indian,  Italian,  Thai,  Mexican,  European",2422 votes,₹ 1500 for two (approx.)
136,Bell Pepperz,4.4/5643 votes,"Community Centre,Ashok Vihar Phase - 2, North Delhi","North Indian,  Oriental ",643 votes,₹ 1200 for two (approx.)
137,736 AD Cafe & Bar,4.2/52062 votes,"Vijay Nagar, North Delhi","Multi-Cuisine,  Italian,  Chinese,  Continental,  Lebanese",2062 votes,₹ 1500 for two (approx.)
138,Jamun,4.4/5165 votes,"Lodhi Colony, South Delhi","North Indian,  Seafood,  Andhra,  Kerala",165 votes,₹ 3000 for two (approx.)
139,Ping's Cafe Orient,4.4/5306 votes,"Lodhi Colony, South Delhi",Asian,306 votes,₹ 2100 for two (approx.)
140,Maini's Green Leaf,4.3/5340 votes,"Unity One Mall,Shahdara, East Delhi","North Indian,  Italian,  Chinese",340 votes,₹ 1000 for two (approx.)
141,Elan,4.3/5203 votes,"The Lodhi,Lodhi Road, South Delhi","Continental,  North Indian,  Italian",203 votes,₹ 4000 for two (approx.)
142,MKT,4.5/5899 votes,"The Chanakya,Chanakyapuri, South Delhi","Multi-Cuisine,  North Indian,  Italian,  Mexican,  European,  Seafood,  Asian",899 votes,₹ 1900 for two (approx.)
143,Sandoz,3.1/58 votes,"Karol Bagh, Central Delhi","North Indian,  Chinese",8 votes,₹ 1000 for two (approx.)
144,Guppy,4.3/5291 votes,"Lodhi Colony, South Delhi","Asian,  Japanese,  Oriental ",291 votes,₹ 2500 for two (approx.)
145,AlKauser,4.0/512 votes,"Chanakyapuri, South Delhi","Mughlai,  North Indian",12 votes,₹ 800 for two (approx.)
146,G2 Cafe,4.2/5510 votes,"Anand Vihar, East Delhi","Multi-Cuisine,  North Indian,  Italian,  European,  Asian",510 votes,₹ 1600 for two (approx.)
147,Breakin' Brew,4.6/558 votes,"Anand Vihar, East Delhi","Italian,  Continental,  Oriental ",58 votes,₹ 900 for two (approx.)
148,Kake Da Hotel,3.6/57 votes,"Rajinder Nagar, West Delhi",North Indian,7 votes,₹ 1000 for two (approx.)
149,Bake Club,5.0/51 votes,"East Patel Nagar, West Delhi","Bakery and Confectionary,  Desserts,  Fast Food",1 votes,₹ 500 for two (approx.)
150,The Sky High,4.2/51629 votes,"Ansal Plaza Mall,Khel Gaon, South Delhi","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mughlai",1629 votes,₹ 2000 for two (approx.)
151,The Salt Cafe Kitchen & Bar,4.3/51479 votes,"Preet Vihar, East Delhi","Multi-Cuisine,  North Indian,  Italian,  Chinese,  American",1479 votes,₹ 2000 for two (approx.)
152,Sana-Di-Ge,4.4/5481 votes,"Malcha Marg Shopping Complex,Chanakyapuri, South Delhi","Seafood,  North Indian,  Goan,  Kerala",481 votes,₹ 2200 for two (approx.)
153,Anardana Modern Kitchen & Bar,4.3/5434 votes,"Preet Vihar, East Delhi","North Indian,  Italian,  Chinese,  Continental",434 votes,₹ 1700 for two (approx.)
154,Perbacco,4.0/522 votes,"The Lodhi,Lodhi Road, South Delhi",Italian,22 votes,₹ 3000 for two (approx.)
155,Uncultured Cafe & Bar,4.3/52548 votes,"Kailash Colony, South Delhi","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Finger Food",2548 votes,₹ 1500 for two (approx.)
156,Elma's Brasserie,4.4/5108 votes,"Mehar Chand Market,Lodhi Colony, South Delhi","Continental,  Italian,  European,  Desserts",108 votes,₹ 1200 for two (approx.)
157,Verandah Moonshine,4.2/5939 votes,"Punjabi Bagh, West Delhi","North Indian,  Fast Food",939 votes,₹ 1500 for two (approx.)
158,Breath - Fine Lounge and Bar,3.9/5622 votes,"Punjabi Bagh, West Delhi","North Indian,  Chinese",622 votes,₹ 1200 for two (approx.)
159,Pinjore,3.6/513 votes,"East Patel Nagar, West Delhi",North Indian,13 votes,₹ 1000 for two (approx.)
160,The Barbeque Company,4.3/52478 votes,"Jail Road, West Delhi","North Indian,  Barbecue,  Chinese",2478 votes,₹ 2100 for two (approx.)
161,Xpose Lounge,3.9/51294 votes,"ITL Twin Tower,Netaji Subhash Place, North Delhi","North Indian,  Chinese,  Finger Food",1294 votes,₹ 1700 for two (approx.)
162,Berco's,4.1/5350 votes,"Kamla Nagar, North Delhi","Chinese,  Thai",350 votes,₹ 1300 for two (approx.)
163,Gyan's Restaurant,4.1/517 votes,"East Patel Nagar, West Delhi",North Indian,17 votes,₹ 800 for two (approx.)
164,Housefull Cafe Lounge,4.2/5283 votes,"Hudson Lane, North Delhi","Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",283 votes,₹ 1800 for two (approx.)
165,Taco Bell,4.5/5125 votes,"Kamla Nagar, North Delhi","Mexican,  Tex Mex,  Tex Mex",125 votes,₹ 500 for two (approx.)
166,Thalassery Restaurant,,"Paharganj, Central Delhi","North Indian,  Chinese,  Fast Food",0,₹ 800 for two (approx.)
167,Sandoz,4.4/51082 votes,"Rajouri Garden, West Delhi","North Indian,  Chinese",1082 votes,₹ 1200 for two (approx.)
168,Off Campus,4.2/51157 votes,"Satya Niketan, South Delhi","North Indian,  Italian,  Continental,  Fast Food",1157 votes,₹ 1000 for two (approx.)
169,The Yellow Chilli,4.2/5482 votes,"V3S Mall,Laxmi Nagar, East Delhi","North Indian,  Mughlai",482 votes,₹ 2000 for two (approx.)
170,Gram by Taksim,4.1/5844 votes,"Ansal Plaza Mall,Khel Gaon, South Delhi","North Indian,  Asian,  Italian,  European",844 votes,₹ 2200 for two (approx.)
171,Xero Degrees,4.4/558 votes,"Satya Niketan, South Delhi","Italian,  Fast Food,  Shakes",58 votes,₹ 900 for two (approx.)
172,The Barbeque Company,4.3/51372 votes,"Karkardooma, East Delhi","North Indian,  Barbecue,  Chinese",1372 votes,₹ 2100 for two (approx.)
173,By The Bay,4.1/5622 votes,"Hudson Lane, North Delhi","Multi-Cuisine,  North Indian,  Italian,  American,  Seafood",622 votes,₹ 1800 for two (approx.)
174,Cafe Delhi Heights,4.4/5451 votes,"Unity One Mall,Janakpuri, West Delhi","Modern Indian,  Italian,  Continental,  American",451 votes,₹ 2000 for two (approx.)
175,Cafe Delhi Heights,4.5/51046 votes,"Sangam Courtyard,RK Puram, South Delhi","Modern Indian,  Italian,  Continental,  American",1046 votes,₹ 2000 for two (approx.)
176,Chili's American Grill and Bar,4.5/51157 votes,"Pacific Mall,Tagore Garden, West Delhi","Mexican,  American,  Italian",1157 votes,₹ 2000 for two (approx.)
177,Vikrant Cafe,3.7/581 votes,"Kamla Nagar, North Delhi","North Indian,  Fast Food,  Chinese,  South Indian",81 votes,₹ 700 for two (approx.)
178,Tippling Street,4.3/51435 votes,"Rajouri Garden, West Delhi","North Indian,  Chinese,  Continental,  Asian",1435 votes,₹ 1800 for two (approx.)
179,The Bowton House Cafe,3.7/5227 votes,"Satya Niketan, South Delhi","North Indian,  Chinese,  Italian,  Continental",227 votes,₹ 800 for two (approx.)
