,Name,Rating,Location,Cuisine,Votes,Cost
6305,European Bite,3.6/54 votes,"Panchkula Shopping Complex,Dhakoli, Zirakpur","Desserts,  Fast Food,  Waffle",4 votes,₹ 400 for two (approx.)
6306,Katani Dhaba,4.0/51 votes,"VIP Road, Zirakpur","North Indian,  Chinese,  South Indian",1 votes,₹ 500 for two (approx.)
6307,Tawa Restaurant,,"Sector 10, Panchkula","North Indian,  Chinese,  Biryani",0,₹ 700 for two (approx.)
6308,Captain Sam's,3.9/515 votes,"Hollywood Plaza,VIP Road, Zirakpur","Pizza,  Italian,  Fast Food",15 votes,₹ 700 for two (approx.)
6309,Lezzetli,4.2/521 votes,"Kharar road, Mohali","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  South Indian",21 votes,₹ 1300 for two (approx.)
6310,Muglai - Ambala Wale,3.5/52 votes,"Apple Heights,VIP Road, Zirakpur","Mughlai,  Finger Food",2 votes,₹ 300 for two (approx.)
6311,The Barbeque Paradise,4.1/528 votes,"Ambala Road, Zirakpur","North Indian,  Chinese",28 votes,₹ 1200 for two (approx.)
6312,Nagpal Dhaba,2.6/55 votes,"VIP Road, Zirakpur","North Indian,  Chinese",5 votes,₹ 600 for two (approx.)
6313,Vintage Kitchen,4.6/547 votes,"Ambala Road, Zirakpur","North Indian,  Chinese,  Fast Food",47 votes,₹ 1000 for two (approx.)
6314,Qabila Restro Lounge,4.0/541 votes,"Ambala Road, Zirakpur","Multi-Cuisine,  North Indian,  Chinese,  Continental,  Asian",41 votes,₹ 850 for two (approx.)
6315,Benji Cafe,3.4/58 votes,"Ambala Road, Zirakpur","American,  Mexican,  Fast Food",8 votes,₹ 800 for two (approx.)
6316,Mr. Shawarma,,"Kharar road, Mohali",Fast Food,0,₹ 600 for two (approx.)
6317,Ahuja's Chole Bhature,,"Kharar road, Mohali",North Indian,0,₹ 300 for two (approx.)
6318,Subway,,"Sector 90, Mohali",Health Food,0,₹ 500 for two (approx.)
6319,Downtown Bake More,,"Kharar road, Mohali","Desserts,  Bakery and Confectionary",0,₹ 300 for two (approx.)
6320,The Brasserie,,"Kharar road, Mohali","North Indian,  Chinese",0,₹ 500 for two (approx.)
6321,Attic,4.4/512 votes,"Kharar road, Mohali",Fast Food,12 votes,₹ 1400 for two (approx.)
6322,Subway,1.0/51 votes,"Shivalik Plaza,Kharar road, Mohali",Health Food,1 votes,₹ 500 for two (approx.)
6323,The Chocolate Room,,"Ambala Road, Zirakpur","Italian,  Mexican,  Desserts,  Fast Food",0,₹ 800 for two (approx.)
6324,Roll Xpress,,"Kharar road, Mohali",Fast Food,0,₹ 300 for two (approx.)
6325,Subway,4.4/58 votes,"Zirakpur-Banur Highway, Zirakpur",Health Food,8 votes,₹ 500 for two (approx.)
6326,Temptation,3.9/513 votes,"Hotel KC Residency,Sector 35, West Chandigarh","North Indian,  Continental,  Chinese",13 votes,₹ 1500 for two (approx.)
6327,Navtara,3.7/537 votes,"Margao, South Goa","Multi-Cuisine,  North Indian,  South Indian,  Goan",37 votes,₹ 500 for two (approx.)
6328,Cremeux,3.8/55 votes,"Navelim, South Goa","Italian,  Fast Food,  Desserts",5 votes,₹ 800 for two (approx.)
6329,Navtara,4.3/521 votes,"Reliance Magnum,Majorda, South Goa","Multi-Cuisine,  North Indian,  South Indian,  Goan",21 votes,₹ 500 for two (approx.)
6330,Barbeque Bay,4.3/53 votes,"Club Mahindra Emerald Palms,Benaulim, South Goa","North Indian,  Barbecue",3 votes,₹ 2500 for two (approx.)
6331,Ziggy's by Fame,4.7/521 votes,"Majorda, South Goa","North Indian,  Goan,  Italian",21 votes,₹ 1000 for two (approx.)
6332,Amiguerio,4.0/511 votes,"Betalbatim, South Goa","Multi-Cuisine,  North Indian,  Chinese,  Continental,  Goan",11 votes,₹ 1000 for two (approx.)
6333,Planet Dailies,4.5/58 votes,"Planet Hollywood Beach Resort,Salcette, South Goa","Multi-Cuisine,  North Indian,  Continental,  Seafood,  Asian",8 votes,₹ 1800 for two (approx.)
6334,Riverside,4.2/58 votes,"The Leela Goa,Cavelossim, South Goa","Italian,  Continental,  Seafood",8 votes,₹ 3100 for two (approx.)
6335,Jamavar,4.8/54 votes,"The Leela Goa,Cavelossim, South Goa","North Indian,  Mughlai",4 votes,₹ 4600 for two (approx.)
6336,Susegado,4.3/512 votes,"The Leela Goa,Cavelossim, South Goa","Goan,  Italian,  Seafood",12 votes,₹ 1900 for two (approx.)
6337,The Restaurant,4.1/58 votes,"The Leela Goa,Cavelossim, South Goa","Multi-Cuisine,  Italian,  Continental,  Seafood,  Asian,  Goan",8 votes,₹ 3000 for two (approx.)
6338,Coconut Grove,3.2/58 votes,"Bogmallo Beach Resort,Bogmalo, South Goa","Goan,  North Indian,  Continental,  Seafood",8 votes,₹ 2100 for two (approx.)
6339,Grapevine,4.3/511 votes,"The HQ Hotel,Vasco Da Gama, South Goa","North Indian,  Mughlai,  Italian",11 votes,₹ 1100 for two (approx.)
6340,Cremeux,5.0/54 votes,"Santa Cruz, North Goa","Italian,  Fast Food,  Desserts",4 votes,₹ 800 for two (approx.)
6341,Gazebo,1.8/51 votes,"The Lalit Golf & Spa Resort,Canacona, South Goa",Finger Food,1 votes,₹ 2700 for two (approx.)
6342,Soi,4.5/540 votes,"Dona Paula, North Goa","Goan,  Seafood",40 votes,₹ 900 for two (approx.)
6343,Cafe Azul,4.4/522 votes,"Cidade De Goa,Panjim, North Goa","Multi-Cuisine,  North Indian,  Italian,  European,  Seafood,  Goan",22 votes,₹ 2900 for two (approx.)
6344,Laranja,4.1/529 votes,"Cidade De Goa,Panjim, North Goa","Seafood,  Goan,  North Indian,  Mediterranean",29 votes,₹ 1000 for two (approx.)
6345,Taverna,4.3/59 votes,"Cidade De Goa,Panjim, North Goa","North Indian,  Continental,  Finger Food",9 votes,₹ 1300 for two (approx.)
